number,Ingredient,Category,Source,Safety,Evidence
87,Pea Protein Isolate,Amino Acid / Protein / Derivative,Mixed/Neutral,General Dietary Use,Mixed / Limited Evidence
88,Propionyl‑L‑Carnitine,Amino Acid / Protein / Derivative,Mixed/Neutral,General Dietary Use,Mixed / Limited Evidence
89,Rice Protein,Amino Acid / Protein / Derivative,Mixed/Neutral,General Dietary Use,Mixed / Limited Evidence
90,Taurine,Amino Acid / Protein / Derivative,Mixed/Neutral,General Dietary Use,Mixed / Limited Evidence
91,Theanine (L‑Theanine),Amino Acid / Protein / Derivative,Mixed/Neutral,General Dietary Use,Mixed / Limited Evidence
92,Whey Protein Isolate,Amino Acid / Protein / Derivative,Mixed/Neutral,General Dietary Use,Mixed / Limited Evidence
93,Acetyl-L-Carnitine HCl,Amino Derivative / Peptide,Mixed/Neutral,General Dietary Use,Mixed / Limited Evidence
94,Anserine,Amino Derivative / Peptide,Mixed/Neutral,General Dietary Use,Mixed / Limited Evidence
95,Carnosine Beta-Alanyl-L-Histidine,Amino Derivative / Peptide,Mixed/Neutral,General Dietary Use,Mixed / Limited Evidence
96,Gamma-Aminobutyric Acid (GABA),Amino Derivative / Peptide,Mixed/Neutral,General Dietary Use,Mixed / Limited Evidence
97,Glycine Propionyl-L-Carnitine,Amino Derivative / Peptide,Mixed/Neutral,General Dietary Use,Mixed / Limited Evidence
98,Histidine HCl,Amino Derivative / Peptide,Mixed/Neutral,General Dietary Use,Mixed / Limited Evidence
99,L-Arginine Ethyl Ester,Amino Derivative / Peptide,Mixed/Neutral,General Dietary Use,Mixed / Limited Evidence
100,L-Carnitine L-Tartrate,Amino Derivative / Peptide,Mixed/Neutral,General Dietary Use,Mixed / Limited Evidence
101,L-Carnosine,Amino Derivative / Peptide,Mixed/Neutral,General Dietary Use,Mixed / Limited Evidence
102,L-Citrulline DL-Malate,Amino Derivative / Peptide,Mixed/Neutral,General Dietary Use,Strong Clinical Evidence
103,L-Glutathione Reduced,Amino Derivative / Peptide,Mixed/Neutral,General Dietary Use,Mixed / Limited Evidence
104,L-Glutathione S-Acetyl,Amino Derivative / Peptide,Mixed/Neutral,General Dietary Use,Mixed / Limited Evidence
105,L-Lysine HCl,Amino Derivative / Peptide,Mixed/Neutral,General Dietary Use,Mixed / Limited Evidence
106,L-Ornithine Alpha-Ketoglutarate,Amino Derivative / Peptide,Mixed/Neutral,General Dietary Use,Mixed / Limited Evidence
107,N-Acetyl-L-Aspartate,Amino Derivative / Peptide,Mixed/Neutral,General Dietary Use,Mixed / Limited Evidence
108,N-Acetyl-L-Glutamate,Amino Derivative / Peptide,Mixed/Neutral,General Dietary Use,Mixed / Limited Evidence
109,Phenibut HCl (β-Phenyl GABA),Amino Derivative / Peptide,Mixed/Neutral,Restricted/Controlled or High-Risk,Mixed / Limited Evidence
110,Tryptophan Ethyl Ester,Amino Derivative / Peptide,Mixed/Neutral,General Dietary Use,Mixed / Limited Evidence
111,β-Alanine Anhydrous,Amino Derivative / Peptide,Mixed/Neutral,General Dietary Use,Mixed / Limited Evidence
112,Bee Pollen Granules,Animal Nutraceutical,Animal-Derived,General Dietary Use,Mixed / Limited Evidence
113,Bee Propolis Extract,Animal Nutraceutical,Animal-Derived,General Dietary Use,Mixed / Limited Evidence
114,Colostrum PRP Concentrate,Animal Nutraceutical,Animal-Derived,General Dietary Use,Mixed / Limited Evidence
115,Deer Antler Velvet Extract,Animal Nutraceutical,Animal-Derived,General Dietary Use,Mixed / Limited Evidence
116,Egg Yolk Immunoglobulin (IgY),Animal Nutraceutical,Animal-Derived,General Dietary Use,Mixed / Limited Evidence
117,Egg Yolk Lecithin,Animal Nutraceutical,Animal-Derived,General Dietary Use,Mixed / Limited Evidence
118,Fish Cartilage Extract,Animal Nutraceutical,Animal-Derived,General Dietary Use,Mixed / Limited Evidence
119,Krill Protein Hydrolysate,Animal Nutraceutical,Animal-Derived,General Dietary Use,Mixed / Limited Evidence
120,Mussel Extract,Animal Nutraceutical,Animal-Derived,General Dietary Use,Mixed / Limited Evidence
121,Ovine Placenta Extract,Animal Nutraceutical,Animal-Derived,General Dietary Use,Mixed / Limited Evidence
122,Oyster Extract,Animal Nutraceutical,Animal-Derived,General Dietary Use,Mixed / Limited Evidence
123,Placental Polypeptides,Animal Nutraceutical,Animal-Derived,General Dietary Use,Mixed / Limited Evidence
124,Porcine Placenta Extract,Animal Nutraceutical,Animal-Derived,General Dietary Use,Mixed / Limited Evidence
125,Royal Jelly Lyophilized,Animal Nutraceutical,Animal-Derived,General Dietary Use,Mixed / Limited Evidence
126,Shark Liver Oil (Alkylglycerols),Animal Nutraceutical,Animal-Derived,General Dietary Use,Mixed / Limited Evidence
127,Squalene (Shark/Squalane Plant),Animal Nutraceutical,Animal-Derived,General Dietary Use,Mixed / Limited Evidence
128,Velvet Antler IGF-1,Animal Nutraceutical,Animal-Derived,General Dietary Use,Mixed / Limited Evidence
129,Acai Berry,Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
130,Acerola Cherry,Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
131,Aged Black Garlic,Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
132,Alfalfa Leaf,Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
133,Aloe Latex (Aloin),Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
134,Aloe Vera Inner Leaf,Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
135,American Ginseng Extract,Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
136,American Ginseng Root,Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
137,Amla (Emblica officinalis),Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
138,Amla (Indian Gooseberry),Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
139,Andrographis,Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
140,Angelica Sinensis (Dong Quai),Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
141,Anise Seed,Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
142,Aronia Berry,Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
143,Artichoke,Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
144,Artichoke Herb,Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
145,Artichoke Leaf,Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
146,Ashitaba,Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
147,Ashwagandha Root,Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Strong Clinical Evidence
148,Astragalus Root,Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
149,Bacopa monnieri (Brahmi),Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Emerging Evidence
150,Banaba Leaf,Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
151,Baobab Fruit Powder,Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
152,Barberry Root,Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
153,Barley Grass,Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
154,Basil Leaf,Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
155,Bay Leaf,Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
156,Bearberry,Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
157,Bee Pollen,Botanical / Herb / Spice / Superfood,Animal-Derived,General Dietary Use,Traditional Use / Mixed Evidence
158,Bee Pollen Granules,Botanical / Herb / Spice / Superfood,Animal-Derived,General Dietary Use,Traditional Use / Mixed Evidence
159,Beet Root,Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
160,Bilberry,Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
161,Bitter Melon Fruit,Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
162,Black Cohosh Root,Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
163,Black Cumin Seed,Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
164,Black Garlic,Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
165,Black Pepper (Piperine),Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
166,Black Seed Oil,Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
167,Black Tea,Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
168,Black Walnut Hull,Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
169,Bladderwrack (Fucus),Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
170,Blue Cohosh Root,Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
171,Blue Vervain,Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
172,Blueberry,Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
173,Blueberry Leaf,Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
174,Boldo Leaf,Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
175,Boswellia 65% Boswellic Acids,Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
176,Boswellia Resin,Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
177,Boswellia Serrata,Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
178,Brahmi,Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
179,Broccoli Sprout Powder,Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
180,Buchu Leaf,Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
181,Bugleweed,Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
182,Burdock Root,Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
183,Butcher’s Broom,Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
184,Butterbur (PA‑free),Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
185,Calendula Flower,Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
186,California Poppy,Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
187,Camu Camu,Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
188,Caralluma Fimbriata,Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
189,Caraway Seed,Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
190,Cardamom,Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
191,Carrot Powder,Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
192,Cassia Cinnamon Bark,Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
193,Catnip,Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
194,Catuaba,Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
195,Catuaba Bark,Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
196,Cat’s Claw,Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
197,Cayenne (Capsaicin),Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
198,Celandine (Chelidonium majus),Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
199,Celery Seed,Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
200,Centella asiatica,Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
201,Ceylon Cinnamon Bark,Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
202,Chamomile,Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
203,Chamomile Extract,Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
204,Chaste Tree Berry (Vitex),Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
205,Chia Seed,Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
206,Chlorella,Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
207,Chrysanthemum Flower,Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
208,Cilantro Leaf,Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
209,Cilantro Seed (Coriander),Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
210,Cinnamon Bark,Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
211,Cinnamon Ceylon,Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
212,Cissus quadrangularis,Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
213,Cistanche,Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
214,Cistus incanus,Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
215,Clove,Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
216,Clove Bud,Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
217,Clove Oil,Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
218,Cocoa (Theobromine),Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
219,Codonopsis (Dang Shen),Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
220,Coffee Fruit Extract,Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
221,Coleus forskohlii,Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
222,Comfrey Leaf (externally),Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,Topical/External Use Only,Traditional Use / Mixed Evidence
223,Cordyceps (see mushrooms),Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
224,Coriander Seed,Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
225,Corn Silk,Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
226,Cornus Officinalis,Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
227,Cranberry,Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
228,Cumin Seed,Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
229,Curcuma longa (Turmeric),Botanical / Herb / Spice / Superfood,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
